date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2020-09-27,2020,0,,STL,MIL,1527.24095056728,1517.86966753028,0.5272747691354096,0.4727252308645904,,,1511.95313782826,1518.42233397582,,,,,,,0.5035778788844297,0.49642212111557027,,,,
2020-09-27,2020,0,,TBD,PHI,1532.07015772833,1493.67137169255,0.5686396777735013,0.43136032222649867,,,1533.93481583953,1499.85847336439,,,,,,,0.5627149665460439,0.4372850334539561,,,,
2020-09-27,2020,0,,OAK,SEA,1550.17791459441,1474.80786230683,0.6199007400141129,0.3800992599858871,,,1529.11008041316,1443.7099182041,,,,,,,0.6324067732090174,0.3675932267909826,,,,
2020-09-27,2020,0,,MIN,CIN,1541.66116715286,1486.65814257744,0.5919143589022856,0.4080856410977144,,,1555.06776346377,1517.6385463246,,,,,,,0.5662690733087541,0.4337309266912459,,,,
2020-09-27,2020,0,,LAD,ANA,1572.5676861609,1478.17477694779,0.6453431082937328,0.35465689170626724,,,1590.16791698935,1497.84317719829,,,,,,,0.6426061130759193,0.3573938869240807,,,,
2020-09-27,2020,0,,CLE,PIT,1526.18676459998,1465.5856004484,0.5996748225029868,0.40032517749701324,,,1528.79989811197,1460.32233053612,,,,,,,0.6095642321868676,0.3904357678131324,,,,
2020-09-27,2020,0,,ATL,BOS,1537.14978502293,1512.82225601032,0.5486710320609585,0.45132896793904154,,,1535.03205688268,1504.76311144389,,,,,,,0.5581217359279234,0.44187826407207664,,,,
2020-09-27,2020,0,,ARI,COL,1503.90146814993,1496.52665757686,0.5244092971435688,0.47559070285643124,,,1504.89841260504,1499.14776169454,,,,,,,0.521978971250723,0.478021028749277,,,,
2020-09-27,2020,0,,TOR,BAL,1488.1402338094,1454.15683397837,0.562394617032353,0.43760538296764695,,,1478.90455855735,1416.54178446655,,,,,,,0.6017829952802873,0.39821700471971266,,,,
2020-09-27,2020,0,,WSN,NYM,1556.87114093765,1514.98597515044,0.5735554905972035,0.42644450940279655,,,1546.14450041514,1523.33931721518,,,,,,,0.5446440603424967,0.4553559396575033,,,,
2020-09-27,2020,0,,TEX,HOU,1481.77312444922,1563.49850359382,0.39766901676865885,0.6023309832313412,,,1476.26428660643,1568.95922749848,,,,,,,0.3871443397612008,0.6128556602387992,,,,
2020-09-27,2020,0,,SFG,SDP,1484.86915726759,1477.47405705992,0.5244384266028677,0.47556157339713234,,,1454.93505615551,1505.71127301977,,,,,,,0.44166452984235444,0.5583354701576455,,,,
2020-09-27,2020,0,,NYY,FLA,1566.53591690342,1463.47750498906,0.656675506539287,0.34332449346071303,,,1575.34309868989,1463.8052512615,,,,,,,0.6670304149905026,0.33296958500949736,,,,
2020-09-27,2020,0,,KCR,DET,1444.23489816193,1420.48810199363,0.5478430754268944,0.45215692457310563,,,1440.96636240935,1436.47592388075,,,,,,,0.5212128368462963,0.47878716315370373,,,,
2020-09-27,2020,0,,CHW,CHC,1485.23341993217,1531.17226112602,0.44789406787405167,0.5521059321259483,,,1500.46488449159,1531.47474045698,,,,,,,0.46968455090783506,0.5303154490921649,,,,
2020-09-26,2020,0,,SFG,SDP,1484.86915726759,1477.47405705992,0.5244384266028677,0.47556157339713234,,,1454.93505615551,1505.71127301977,,,,,,,0.44166452984235444,0.5583354701576455,,,,
2020-09-26,2020,0,,LAD,ANA,1572.5676861609,1478.17477694779,0.6453431082937328,0.35465689170626724,,,1590.16791698935,1497.84317719829,,,,,,,0.6426061130759193,0.3573938869240807,,,,
2020-09-26,2020,0,,ARI,COL,1503.90146814993,1496.52665757686,0.5244092971435688,0.47559070285643124,,,1504.89841260504,1499.14776169454,,,,,,,0.521978971250723,0.478021028749277,,,,
2020-09-26,2020,0,,WSN,NYM,1556.87114093765,1514.98597515044,0.5735554905972035,0.42644450940279655,,,1546.14450041514,1523.33931721518,,,,,,,0.5446440603424967,0.4553559396575033,,,,
2020-09-26,2020,0,,STL,MIL,1527.24095056728,1517.86966753028,0.5272747691354096,0.4727252308645904,,,1511.95313782826,1518.42233397582,,,,,,,0.5035778788844297,0.49642212111557027,,,,
2020-09-26,2020,0,,MIN,CIN,1541.66116715286,1486.65814257744,0.5919143589022856,0.4080856410977144,,,1555.06776346377,1517.6385463246,,,,,,,0.5662690733087541,0.4337309266912459,,,,
2020-09-26,2020,0,,CLE,PIT,1526.18676459998,1465.5856004484,0.5996748225029868,0.40032517749701324,,,1528.79989811197,1460.32233053612,,,,,,,0.6095642321868676,0.3904357678131324,,,,
2020-09-26,2020,0,,CHW,CHC,1485.23341993217,1531.17226112602,0.44789406787405167,0.5521059321259483,,,1500.46488449159,1531.47474045698,,,,,,,0.46968455090783506,0.5303154490921649,,,,
2020-09-26,2020,0,,ATL,BOS,1537.14978502293,1512.82225601032,0.5486710320609585,0.45132896793904154,,,1535.03205688268,1504.76311144389,,,,,,,0.5581217359279234,0.44187826407207664,,,,
2020-09-26,2020,0,,TEX,HOU,1481.77312444922,1563.49850359382,0.39766901676865885,0.6023309832313412,,,1476.26428660643,1568.95922749848,,,,,,,0.3871443397612008,0.6128556602387992,,,,
2020-09-26,2020,0,,KCR,DET,1444.23489816193,1420.48810199363,0.5478430754268944,0.45215692457310563,,,1440.96636240935,1436.47592388075,,,,,,,0.5212128368462963,0.47878716315370373,,,,
