lineopen,line,road,home,linehow,linemarsee,linedokter,linebihl,linekeep,lineatom,lineargh,linecong,linebillings,linebillings2,lineharville,linecather,lineburdorf,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linebmc,linetempo,linedonchess,linefeng,linepugh,linedwig,linefpi,linetalis,lineround,linerba,linemidweek,linegiddens,lineunion,neutral,linesag,linesagr,linesagpred,linesaggm,linepfz,linemoore,linenutshell,lineelo,lineborn,linefox,linelaz,linepig,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineash,linesuper,linecovers,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linem2,lineavg,linestd,linemedian,phcover,phwin,lineca
-11,-12.5,Oklahoma St.,Kansas St.,-4.5,,-6.48,,-14.02,,-7,-9.3,,,-4.02,-7,,-5,-5.1,-4.5,,,-1.9,-3,,,-7,-1.3,-7.62,,-5.724953772,0.23,-10,,,,,0,-7.9,-8.56,-7.55,-7.51,-5.63,-2.28,,-3.176124452,-3.15,-1,-6.49,,-4.3294,,,,,,-6.25,,-10.75,-6.8,,,-4.7635,-5,-0.54,-3.742,,-5.533027949,3.0635682904,-5.63,0.6196387744,0.3665776212,-11
7,4,Eastern Mich.,Kent,-2.5,,5.8,,11.06,,8,6.09,,,2.81,10,,9.2,6.4,8.3,,,0.76,2,,,5,-0.2,-0.71,,2.8377630992,7.03,,,,,,0,-0.57,-0.52,-0.57,-0.61,-1.31,-3.47,,7.941383295,7.85,5,1.27,,-0.5188,,,,,,-2.375,,-0.01,6.3,,,4.704,-1,14.45,9.87,,3.8020395998,4.6125510212,3.7708815496,0.4965865436,0.5906264775,4
11,14,Arkansas St.,Louisiana-Lafayette,22,,13.7,,17.01,,23,9.68,,,15.61,20,,17.1,15.7,16.8,,,9.26,5.5,,,12.1,15.1,15.5,,14.959869196,16.63,20,,,,,0,14.95,20.71,13.04,12.02,11.19,19.95,,13.24709481,21.55,19,14.35,,16.1015,,,,,,25,,13.85,17.2,,,21.3955,14,13.13,4.238,,15.730627543,4.6517794582,15.61,0.5298038919,0.8283060027,14
44,45,Massachusetts,Marshall,,,40.67,,58.51,,33,30.8,,,45.18,54,,42.7,35.9,44.3,,,24.63,24.5,,,35,44.7,54.42,,43.02294598,47.67,49,,,,,0,51.55,56.44,52.54,47.01,37.83,48.03,,52.169812073,59.85,50,51.39,,45.3993,,,,,,42.3125,,31.15,46.6,,,36.379,43,51.94,57.271,,44.878369354,9.333752745,45.99965,0.4980208847,0.99244801,45
19,17.5,South Florida,Memphis,27,,18.19,,16.98,,25,24.27,,,20.25,25,,20.9,21.6,22,,,14.7,8.5,,,24.5,17.9,19.73,,16.068089577,26.25,25,,,,,0,21.06,24.29,19.03,19.88,17.42,20.03,,21.649527283,24.15,26,17.89,,23.6862,,,,,,31.5625,,22.25,16.8,,,26.229,18,27.08,24.082,,21.626494767,4.421779714,21.649527283,0.5708920944,0.9044909792,18
3,1,Ball St.,Miami (Ohio),10,,5.64,,0.98,,8,10.07,,,2.75,6,,3.5,2.8,2.4,,,3.77,6.5,,,1.9,-2,4.83,,4.6842955159,-2.65,,,,,,0,2.88,2.84,2.86,2.95,3.86,8.64,,2.969947884,1.25,4,6.43,,2.7861,,,,,,11.1875,,-3.75,3.2,,,5.18,-1,7.73,2.226,,4.0121718647,3.3751463085,3.35,0.5522756794,0.597268744,2
-4,-4,Charlotte,Middle Tenn.,-6,,-0.28,,-2.12,,-10,-7.17,,,-8.44,-7,,-2.7,-2.7,-2.6,,,-1.72,10,,,-3.5,-2.8,-7.03,,-8.28282563,-5.85,-8,,,,,0,-5.56,-8.97,-6.36,-1.43,0.71,-9.92,,-9.163048742,-7.75,-4,-12.76,,1.437,,,,,,-5.25,,-9.85,-7.9,,,-3.1325,-7,-3.51,-7.173,,-5.050696411,4.2643674753,-5.85,0.4818362323,0.3797492338,-4
16,18.5,Vanderbilt,Mississippi St.,10.5,,15.96,,23.56,,11,4.13,,,17.01,15,,16.8,17.1,19,,,13.9,13,,,24.5,15.1,18.6,,16.299002944,14.98,21,,,,,0,18.06,18.41,18.29,17.91,20.52,15.88,,19.021631944,19.65,18,17.39,,20.0062,,,,,,21.6875,,16.5,19,,,16.2295,11,13.52,18.536,,17.029995283,3.7825297458,17.39,0.4745029808,0.8507548157,18.5
-9,-10,Miami (Fla.),NC St.,-7,,-11.11,,,,-5,-3.48,,,-5.07,-4,,-7.4,-9.4,-7.4,,,-3.78,-9,,,-7.4,-10.2,-8.05,,-6.138274999,-9.72,-6,,,,,0,-6.16,-6.81,-6.26,-5.64,-5.3,-10.81,,-2.096846327,-6.05,-4,-4.83,,-3.7758,,,,,,-14.9375,,-5.5,-7.6,,,-7.3605,-9,-7.14,-2.785,,-6.682468274,2.6787245131,-6.21,0.5577705803,0.3396218629,-9
-10,-11.5,Tulsa,Navy,-3,,-9.11,,-12.7,,-12,8.35,,,-10.94,-9,,-7.3,-7,-7.4,,,-2.83,-1,,,-7.5,-3.8,-14.82,,-13.23566516,-3.62,-10,,,,,0,-9.28,-14.05,-9.97,-4.58,0.68,-18.59,,-14.94350232,-10.75,-1,-15.43,,-5.5961,,,,,,-18.125,,-10.35,-13.8,,,-10.2025,-15,-6.44,-10.917,,-8.578564785,5.6534449862,-9.28,0.5497502188,0.3059737938,-11.5
