lineopen,line,road,home,linekasulis,lineesp2,linemass,linepi,linepim,linepib,linejens,linedok,lineargh,linebihl,linerwp,lineburd,lineexcel,lineshark,linemidweek,linetalis,linepugh,lineclean,linejens2,linegiddens,linecraig,linehanson,linedonchess,lineffw,lineround,linestjohn,lineespn,lineexcel2,linepr,linewhatif,lineturing,neutral,linepfz,linesag,linesagr,linesagpred,linesaggm,linel1,linel2,linel2to,linejohnson,linecurry,lineash,linedwig,linel2h,linemoore,linepyth,linepig,linekoth,lineform,linenutshell,lineelo,linefox,linegt,linest,lineeff,linelog,linekerns,linecovers,linecoff,lineppg,lineherbert,lineteamrank,linedunk,lineavg,linemedian,linestd,phcover,phwin,lineca
5.5,3,Miami,Buffalo,,,2.84,9.3,9.1,9.7,9.0443187153,8.3,5,,,,,19.2,,1.01,5.06,5.5,,,,,1.8,6,9,0.8173452147,6.8509392839,,,,1,0,2.02,3.97,4.2,3.34,4.72,1.5886,2.0784,4.1563,,11.09,5,12.3,5.2108,4.37,2.2374,8,,,,9.1395406,9,,,2.1569724691,5.590785,10.8,6,5.56,2,-0.177948755,4.8,5.298,5.6870699397,5,3.8914694081,0.5541051876,0.655421284,3
-12.5,-12,Baltimore,Cincinnati,,,-10.12,-14.7,-14.2,-14.4,-7.287067962,-9.04,-11,,,,,-13.2,,-12.01,-10.68,-3,,,,,-11.7,-13,-15,-12.05849797,-8.561863024,,,,-18,0,-11.675,-9.54,-6.3,-11.87,-10.4,-12.3109,-12.0448,-9.3957,,-10.85,-8,-4.15,-8.457,-9.34,-6.4969,-6,,,,-4.513001821,-10,,,-3.841839047,-6.273195,-11.9,-5.5,-8.33,-11.86666667,-8.868444116,-10.9,-20.647,-10.30969953,-10.68,3.6976588298,0.5341625399,0.2333732291,-12
4,9,Pittsburgh,Cleveland,,,-5.27,-1,-1.1,-0.9,-0.07943887,-1.32,-6,,,,,17.8,,-7.98,-5.37,3,,,,,7.4,-4,-7,-4.765467435,-1.857084385,,,,-12,0,-0.45,-3.37,-1.82,-4.8,-3.29,-7.0299,-7.605,-5.943,,0.85,-3,-0.8,-0.3241,-5.74,-2.6486,0.01,,,,1.320267396,-2,,,-0.958325897,-4.38351,-5.9,3,-2.24,-5.933333333,10.004127241,-3.9,-7.217,-2.192750129,-2.6486,5.1946852994,0.2883353997,0.4404222876,7.5
-3.5,-6.5,Minnesota,Detroit,,,-4.49,-4.4,-4.3,-4.3,-0.820523226,-2.69,-3,,,,,-4.6,,-5.68,-3.7,0.01,,,,,-2.5,-4,-3,-4.112657681,-8.36725348,,,,-4,0,-3.07,-3.66,-2.66,-4.28,-3.7,-4.8821,-5.0103,-3.4292,,-0.67,-2,-1.75,-10.322,1.19,-0.6,-2,,,,-0.74911924,-7,,,-0.154219169,-1.55949,-5.4,0.5,-2.01,-4.2,-4.802138111,-2.9,-2.56,-3.164817339,-3.4292,1.9913973405,0.5680157256,0.4094271784,-5.5
3.5,-1.5,Dallas,N.Y. Giants,,,-1.2,-1.2,-0.7,-0.6,2.792999565,1.18,-0.25,,,,,5.2,,0.46,1.96,-2.5,,,,,-0.2,-5,4,-1.120035546,3.2439625301,,,,-1,0,2.58,-2.18,-2.73,-1.58,-2.37,0.4544,0.7846,-0.03,,-0.92,1,0.3,-4.5257,0.57,1.5172,0.01,,,,0.160647642,-1,,,1.658709619,-0.182175,3,2,1.35,1.5333333333,-2.96938929,0.7,0.407,0.2271567769,0.3,2.0298770981,0.5353414215,0.5065548491,-1.5
10,3,N.Y. Jets,New England,,,9.05,8.1,6.9,7.3,9.3114721155,11.71,9,,,,,5.4,,9.9,11.67,5.5,,,,,5.3,14,15,6.9929476011,8.1621082863,,,,-1,0,6.76,6.01,3.18,7.74,7.13,8.8825,8.6764,9.2107,,3.94,11,9.6,11.2546,5.61,9.7549,7,,,,6.976984664,11,,,8.1921862403,6.649815,11.3,5,10.29,12.6,-0.396129636,11.5,17.666,8.3151236408,8.1921862403,3.6134841565,0.6063485584,0.7216948782,4.5
7.5,7,Atlanta,Tampa Bay,,,4.13,6.8,7.5,7.5,11.773421356,8.91,11,,,,,20.7,,7.8,9.92,5.5,,,,,9.4,1,15,5.7795384051,8.6514520381,,,,2,0,3.85,6.14,4.13,7.06,6.79,7.9222,7.828,7.6207,,11.07,7,12,8.2522,8.43,8.1041,8,,,,7.560855036,9,,,6.8024570794,8.77458,13.6,10,9.02,10.066666667,7.4400166426,8.6,16.419,8.4833757859,7.9222,3.6181613527,0.5300112562,0.7256564692,7
-6.5,-6.5,New Orleans,Carolina,,,-6.08,-5.1,-5.1,-4.9,-5.654350439,-3.96,-9,,,,,-5.7,,-7.57,-6.41,-2.5,,,,,-11.3,-6,-9,-7.266380827,-8.061344615,,,,-4,0,-5.87,-8.14,-7.43,-7.77,-9.11,-8.1629,-8.6077,-9.1113,,-9.28,-6,-5.5,-12.1757,-7.82,-3.2427,-5,,,,-3.693275865,-8,,,-1.568192684,-8.595915,-8.4,-2.5,-7.4,-7.666666667,-4.360007022,-6.8,-17.642,-6.748215076,-6.8,2.7802167883,0.4949384848,0.3143401706,-6.5
-5.5,-5.5,Green Bay,Chicago,,,-3.23,-4.7,-5.3,-5.4,-3.131519254,-4.15,-5,,,,,-4.6,,-4.85,-3.5,-2.5,,,,,-6.7,-1,-6,-4.908649312,-5.444493101,,,,-4,0,-5.97,-5.03,-5.4,-4.92,-4.95,-5.851,-6.0409,-3.5919,,-7.13,-1,0.2,0.2697,-4.05,-0.7719,-2,,,,-2.28020747,-1,,,0.051963075,-5.767575,-8.1,-1,-3.12,-4.666666667,-6.101079705,-2.8,-8.878,-4.11742323,-4.666666667,2.1508844134,0.5282850422,0.3830656766,-5.5
3,-2.5,Las Vegas,Denver,,,-1.89,-0.6,-0.6,-0.1,1.5071816069,-0.4,-3,,,,,11.7,,-4.07,-1.67,-3,,,,,-3.2,3,-3,-5.654862927,-1.184684504,,,,-8,0,-3.105,-1.16,1.55,-2.49,-1.73,-3.3272,-3.6357,0.1425,,-2,1,2.1,-1.2362,-1.06,-0.7996,2,,,,3.645594469,2,,,-0.17685715,-0.830265,-3.1,1.5,-0.13,-3.133333333,-4.804949681,-0.8,-2.431,-0.978241744,-1.16,3.1546822289,0.5309112933,0.4722141007,-2.5
-4.5,-7.5,Tennessee,Houston,,,-4.54,-3.4,-3.9,-4.1,-4.546813559,-3.71,-9,,,,,-4.3,,-7.74,-5.15,-2,,,,,-7.1,-1,-9,-7.489966118,-2.763904719,,,,-10,0,-4.7,-5.6,-7.38,-4.66,-5.69,-7.2159,-7.1322,-2.4418,,-7.57,-1,-3.45,-5.3755,-6.01,-2.3035,-3,,,,-4.250576965,-4,,,-1.319669814,-8.98557,-5.7,-4,-5.44,-6.4,-6.560973542,-3.5,-14.485,-5.208544017,-4.66,2.6641867152,0.5466595451,0.3542552221,-7
12.5,14,Jacksonville,Indianapolis,,,9.87,17.7,18,18,17.587561664,14.69,18,,,,,29.6,,14.84,17.49,7.5,,,,,23,9,24,13.602010457,13.200383234,,,,10,0,11.035,12.98,12.96,12.81,13.24,14.6858,14.4331,10.626,,22.58,10,18.85,10.4479,14.01,13.3732,17,,,,17.477265114,21,,,11.376068861,15.83841,,13.5,17.94,18.466666667,11.355295115,15.2,28.398,15.734408778,14.6879,4.9613342701,0.5345697411,0.8602907666,14
3,-3.5,LA Chargers,Kansas City,,,9.82,14.7,14.6,14.4,16.555274774,7.86,17,,,,,13.4,,13.82,15.52,2.5,,,,,-0.7,9,23,7.9033498277,5.325859837,,,,4,0,5.99,11.18,11.2,10.52,12.26,11.9232,11.9592,10.9361,,14.88,11,16.95,3.6011,13.47,11.014,15,,,,14.03747605,17,,,9.3240591438,15.89727,15.3,,14.66,14.466666667,-3.395925933,14.1,29.94,12.060481509,12.83,5.8226916572,0.7792037608,0.7914470763,-2
4.5,-3,Arizona,LA Rams,,,2.48,2.6,3,3.1,7.0719744488,5.34,4,,,,,12.3,,2.03,4.31,3.5,,,,,3.3,1,7,2.2811607139,4.310197883,,,,-8,0,0.885,2.05,1.53,2.08,2.5,1.9536,2.1262,2.7212,,2.63,5,6.4,2.0984,4.08,3.9591,5,,,,5.705920276,4,,,3.4331670968,2.444565,6.8,2.5,3.7,2.7333333333,-4.109737845,4.2,6.672,3.3700759977,3.3,3.0503574814,0.6273877782,0.5950413935,-1.5
-6.5,-6.5,Seattle,San Francisco,,,-1.92,-2.4,-3.3,-3.2,-0.555965977,-5.31,-6,,,,,-0.7,,-2.73,-2.85,4.5,,,,,-4.6,-2,-5,-5.30705303,-3.442539476,,,,-11,0,-4.09,-3.18,-4.84,-2.32,-2.86,-4.3239,-4.2409,-0.8924,,-6.89,1,1.3,-11.7431,-5.13,-1.1556,0.01,,,,-1.659883179,0.01,,,-0.224835842,-5.02134,4.3,-3.5,-3.59,-4.4,-4.198229286,-0.6,-8.108,-2.814617239,-3.18,2.9428179499,0.5746213184,0.4202638244,-5.5
