Time Script Ran,Game Date,Sport,Team,Bet Amount,Odds of Winning,Best Book,Potential Winnings with Best Book,Expected Value,Winner,Bet Winnings,Row_Key,Minimum Odds to Bet
11/26/20 18:10,11/27/20,CBB,Longwood,100,0.08,,1600,35,No Win,-100,,
11/26/20 18:10,11/27/20,CBB,Mercer,100,0.14,,810,27,Mercer,810,,
11/26/20 22:39,11/27/20,CFB,UNLV,100,0.216927485,,450,19,No Win,-100,,
11/27/20 18:05,11/28/20,Soccer Dutch Eredivisie,ADO Den Haag,100,0.3508,,340,54,No Win,-100,,
11/27/20 18:05,11/28/20,Soccer Dutch Eredivisie,VVV Venlo,100,0.3915,,210,21,No Win,-100,,
11/27/20 18:07,11/28/20,Soccer English League Championship,Wycombe Wanderers,100,0.2531,,340,11,No Win,-100,,
11/27/20 18:11,11/28/20,Soccer English League Two,Leyton Orient,100,0.4092,,220,30,Leyton Orient,220,,
11/27/20 18:11,11/28/20,Soccer English League Two,Southend United,100,0.2041,,500,22,No Win,-100,,
11/27/20 23:13,11/28/20,Soccer Belgian Jupiler League,Club Brugge Draw,100,0.2122,,430,12,Draw,430,,
11/27/20 23:16,11/28/20,Soccer Swiss Raiffeisen Super League,FC Luzern,100,0.3018,,295,19,FC Luzern,295,,
11/27/20 23:22,11/28/20,Soccer French Ligue 2,Toulouse,100,0.6642,,92,27,Toulouse,92,,
11/27/20 23:22,11/28/20,Soccer French Ligue 2,Amiens,100,0.2898,,285,11,No Win,-100,,
11/27/20 23:22,11/28/20,Soccer French Ligue 2,Valenciennes,100,0.2421,,380,16,No Win,-100,,
11/27/20 18:13,11/28/20,CFB,Kentucky,100,0.120744304,,1150,50,No Win,-100,,
11/27/20 18:13,11/28/20,CFB,Syracuse,100,0.274671749,,440,48,No Win,-100,,
11/27/20 18:13,11/28/20,CFB,Texas-San Antonio,100,0.665565297,,70,13,Texas-San Antonio,70,,
11/27/20 18:13,11/28/20,CFB,Auburn,100,0.108087678,,1000,18,No Win,-100,,
11/27/20 18:13,11/28/20,CFB,LSU,100,0.32258002,,370,51,No Win,-100,,
11/27/20 18:13,11/28/20,CFB,Kansas St.,100,0.423752198,,165,12,No Win,-100,,
11/27/20 18:13,11/28/20,CFB,Navy,100,0.328974127,,330,41,No Win,-100,,
11/27/20 18:13,11/28/20,CFB,South Carolina,100,0.159767778,,900,59,No Win,-100,,
