lineopen,line,road,home,linehow,linemarsee,linedokter,linebihl,linekeep,lineatom,lineargh,linecong,linebillings,linebillings2,lineharville,linecather,lineburdorf,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linebmc,linetempo,linedonchess,linefeng,linepugh,linedwig,linefpi,linetalis,lineround,linerba,linemidweek,linegiddens,lineunion,neutral,linesag,linesagr,linesagpred,linesaggm,linepfz,linemoore,linenutshell,lineelo,lineborn,linefox,linelaz,linepig,linekam,linel2hf,linepayne,linepaynep,linepaynewl,lineash,linesuper,linecovers,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linem2,lineavg,linestd,linemedian,phcover,phwin,lineca
-4,-1.5,Oklahoma St.,Miami (Fla.),4,,-0.71,,-8.36,,1,-8.97,,,-1.16,-1,,-2.7,0.5,-1.3,-0.2,6.6,-3.61,1.5,,,-0.9,-3.9,-4.4,,-1.676860505,-8.36,,,-2,,,1,-3.52,-2.41,-3.34,-4.81,-4.61,0.91,,3.666740353,-6.5,-6,4.22,,-7.7858,,,,,,-1.0625,,-2.15,-0.6,,,1.4665,4,,-6.134,,-2.065883433,3.7869691807,-1.676860505,0.4901794465,0.4498209708,-1.5
3,-2.5,Kentucky,NC St.,9.5,,-3.2,,-0.9,,5,-15.83,,,-2.02,-6,,-7.7,-7,-8.3,2.3,12.4,-6.15,1.5,,,0.5,-10.6,-5.28,,-2.562070997,-13.79,,,-2.5,,,1,-4.06,-2.49,-4.61,-4.95,4.92,-1.12,,-1.739737255,-5.3,-10,-3.38,,-9.5466,,,,,,-1.5625,,-6.5,-3,,,7.679,9,,-3.864,,-3.075883093,6.0743390352,-3.38,0.490212644,0.4284415734,-2.5
-4,-1.5,Tulane,Nevada,-2.5,,-7.01,,-5.35,,3,-1.95,,,-5.35,-13,,-9.1,-8.2,-8.2,-3.7,-6.1,-3.71,-6.5,,,-3.3,-5.9,-6.45,,-3.807634708,,,,-1.5,,,1,-4.7,-3.4,-5.16,-5.49,0.34,-5.21,,-4.777958061,-12,-12,-4.25,,-9.3188,,,,,,-9,,1.35,-11.3,,,-1.2635,16,-9.56,-7.902,,-5.736282651,3.7105587908,-5.35,0.4268494379,0.3629626734,-2.5
5,7.5,Texas A&M,North Carolina,-9,,-6.76,,-3.75,,-12,-10.01,,,-7.41,-1,,-2.1,-2.1,-2.5,-0.6,-1,-8.08,3.5,,,-3.3,-7.2,-7.29,,-4.774883553,-6.92,,,,,,1,-6.7,-7.03,-6.49,-6.75,-8.35,1.21,,-7.406482027,-7.2,-2,-6.3,,-8.914,,,,,,-4.5,,-11.55,-4.1,,,-4.1265,2,,-8.289,,-5.451167588,3.5171229288,-6.7,0.2862072379,0.3691896962,6
3,3.5,Auburn,Northwestern,-2,,-2.47,,-2.65,,5,-7.62,,,-0.61,-6,,-3.3,-2.4,-0.7,5,5,-3.08,-3.5,,,3.4,-8.9,0.01,,-3.507107545,-12.81,,,3.5,,,1,-4.96,-2.32,-4.32,-8.05,12.52,-0.49,,1.460059886,-2,-6,3.46,,-3.9821,,,,,,-2.4375,,-0.65,-2.2,,,2.702,4,,-2.79,,-1.748418505,4.7038693538,-2.4,0.4103400114,0.4581012798,2.5
-3,7,Florida,Oklahoma,-3,,1.12,,1.55,,3,0.87,,,-1.15,1,,-1.2,-1.2,-1.6,2.1,6.2,0.51,4.5,,,-2.9,-6.5,1.39,,2.4992621722,-0.46,,,-3,,,1,1.5,0.97,1.31,2.16,6.76,-0.39,,-6.997501956,-1.2,0.01,-3.57,,1.1193,,,,,,0.8125,,-3.95,1.6,,,1.652,5,,2.464,,0.3134160062,2.9535447199,0.97,0.3849669941,0.5077135585,5.5
7,9.5,Ball St.,San Jose St.,8,,2.21,,9.59,,13,3.31,,,4.74,2,,1.6,3.3,1.9,3.9,6.5,6.5,2,,,3.4,4.7,5.51,,3.0627031798,3.19,,,8,,,1,4.15,6.23,4.44,2.61,5.92,5.9,,7.608703057,5.2,2,5.79,,3.2739,,,,,,14.625,,8.3,1.8,,,5.32,6,,2.56,,4.9754373211,3.0276037916,4.44,0.4215953552,0.620464747,8.5
6,4.5,Arkansas,TCU,6.5,,4.8,,7.74,,8,10.54,,,6.19,13,,8.3,6.6,8.6,8.5,10.7,5.98,6,,,7.3,4.4,6.95,,7.0096514262,11.35,,,6,,,1,6.61,4.77,6.85,8.17,15.14,10.83,,-4.344903237,7.8,13,0.59,,5.5223,,,,,,14.5625,,7.3,7.2,,,12.3935,12,,9.543,,7.8398870911,3.7110445493,7.3,0.5577951024,0.6840667167,5.5
11,9.5,Colorado,Texas,15,,17.03,,19.27,,6,15.75,,,8.75,19,,17,15,18.1,8.3,2.9,11.21,1.5,,,12.5,11.2,14.98,,11.900278139,13.5,,,9.5,,,1,13.23,11.5,13.38,14.65,1.22,18.85,,-0.537051651,17.2,18,1.12,,17.195,,,,,,25.1875,,8.3,16.4,,,5.516,12,,18.881,,12.542363614,6.2139526747,13.5,0.5514872315,0.7682869037,10
5,7.5,North Carolina,Texas A&M,9,,6.76,,3.75,,12,10.01,,,7.41,1,,2.1,2.1,2.5,0.6,1,8.08,-3.5,,,3.3,7.2,7.29,,4.7748835526,6.92,,,7,,,1,6.7,7.03,6.49,6.75,8.35,-1.21,,7.406482027,7.2,2,6.3,,8.914,,,,,,4.5,,11.55,4.1,,,4.1265,-2,,8.289,,5.451167588,3.5171229288,6.7,0.4644209832,0.6308103038,7.5
-13,-14,Louisiana-Lafayette,Texas-San Antonio,-16.5,,-15.06,,-21.37,,-17,-24.41,,,-16.97,-9,,-20.5,-19.7,-19.9,-14.9,-9.3,-12.63,-8.5,,,-15.5,-21.1,,,-12.22429521,,,,-14,,,1,-14.98,-17.39,-14.03,-14,-7.4,-8.86,,-15.77470727,-11.2,-16,-12.24,,-17.0078,,,,,,-22.8125,,-12.35,-15.8,,,-18.8125,,-11.8,-11.761,,-15.19949419,4.3013520535,-15.28,0.4792722479,0.1785889013,-14
1,-1.5,Mississippi St.,Tulsa,12.5,,2.98,,1.43,,10,-8.12,,,1.59,7,,-1,-1.6,-2.7,7.5,13.6,-1.22,11,,,3.1,-2.4,-1,,3.6881155499,-1.48,,,2.5,,,1,-1.26,3.14,-1.68,-4.94,16.6,9.92,,7.011546607,1.6,2,2.46,,1.168,,,,,,12.5,,2.55,4.9,,,16.198,15,,1.835,,3.6820189188,6.051559641,2.46,0.5873904468,0.5855000182,-1
-7,-9.5,Wake Forest,Wisconsin,-5.5,,9.72,,7.98,,10,20.31,,,8.47,10,,13.7,11.2,13.9,9.7,-8.8,10.75,9,,,4.4,12.7,12.71,,8.24282279,20.47,,,7,,,1,9.69,9,9.23,11.14,12.76,-0.53,,5.35041073,11.8,10,5.22,,14.437,,,,,,7.375,,14.8,7.6,,,5.565,1,,12.923,,9.2946638149,5.7715158332,9.72,0.7891206694,0.7082742724,-8
